run,muinit,sigmainit,tau0,phibeta,kpmax,kpmin,kL,k_near,k_far,t_end_days,nframes,peak_slip_m,dc,peak_over_dc,r_dc_km,lambda,lam_over_obs,perm_file
632562,0.37,27.99,10.356,2.000e-11,1e-10,4e-13,1e-5,1.100e-12,4.000e-13,8.000,95,6.5870e-07,0.0001,0.007,0.0000,,,perm_taiyi_601_ds20.txt
632582,0.42,27.99,11.756,1.000e-10,1e-10,4e-13,1e-5,1.100e-12,4.000e-13,8.000,91,6.1917e-07,0.0001,0.006,0.0000,,,perm_taiyi_601_ds20.txt
632564,0.37,27.99,10.356,5.000e-11,2e-11,4e-13,1e-5,1.100e-12,4.000e-13,8.000,98,6.1510e-07,0.0001,0.006,0.0000,,,perm_taiyi_601_ds20.txt
632502,0.37,30.0,11.1,1.000e-10,1.1e-12,4e-13,1e-3,1.100e-12,4.000e-13,1.000,17,4.2376e-07,0.0001,0.004,0.0000,,,perm_taiyi_601_ds5.txt
632566,0.37,27.99,10.356,5.000e-11,1e-10,4e-13,1e-5,1.100e-12,4.000e-13,8.000,98,2.8145e-07,0.0001,0.003,0.0000,,,perm_taiyi_601_ds20.txt
632681,0.37,26.0,9.62,1.000e-10,2e-11,4e-13,1e-5,1.100e-12,4.000e-13,1.567,29,2.5845e-07,0.0001,0.003,0.0000,,,perm_taiyi_601_ds20.txt
632569,0.37,27.99,10.356,1.000e-10,2e-11,4e-13,1e-4,1.100e-12,4.000e-13,8.000,96,2.5562e-07,0.0001,0.003,0.0000,,,perm_taiyi_601_ds20.txt
632571,0.37,27.99,10.356,1.000e-10,1e-10,4e-13,1e-4,1.100e-12,4.000e-13,8.000,96,2.2680e-07,0.0001,0.002,0.0000,,,perm_taiyi_601_ds20.txt
632568,0.37,27.99,10.356,1.000e-10,2e-11,4e-13,1e-5,1.100e-12,4.000e-13,8.000,93,2.0574e-07,0.0001,0.002,0.0000,,,perm_taiyi_601_ds20.txt
632672,0.37,27.99,10.356,1.000e-10,2e-11,4e-13,1e-5,1.100e-12,4.000e-13,8.000,138,1.9072e-07,0.0001,0.002,0.0000,,,perm_taiyi_601_ds20.txt
632570,0.37,27.99,10.356,1.000e-10,1e-10,4e-13,1e-5,1.100e-12,4.000e-13,8.000,93,1.2793e-07,0.0001,0.001,0.0000,,,perm_taiyi_601_ds20.txt
632605,0.37,27.99,10.356,1.000e-11,1e-10,4e-13,1e-6,1.100e-12,4.000e-13,8.000,95,1.2147e-07,0.0001,0.001,0.0000,,,perm_taiyi_601_ds20.txt
632557,0.3,27.99,8.397,1.000e-10,2e-11,4e-13,1e-5,1.100e-12,4.000e-13,17.200,196,2.4783e-08,0.0001,0.000,0.0000,,,perm_taiyi_601_ds20.txt
